,AUD/JPY,AUD/USD,CHF/JPY,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/CHF,GBP/JPY,GBP/USD,NZD/USD,USD/CAD,USD/CHF,USD/JPY,DAX40 FULL0926,DAX40 PERF INDEX,NASDAQ100 - MINI NASDAQ100 FULL0926,NASDAQ100 INDEX,S&P500 - MINI S&P500 FULL0926,GOLD - USD,SILVER - USD,GOLD - EUR,GOLD - GBP,GOLD - CHF,GOLD - CAD,GOLD - AUD,GOLD - NZD,SILVER - EUR,SILVER - GBP,SILVER - CHF,SILVER - CAD,SILVER - AUD,SILVER - NZD
NASDAQ100 - MINI NASDAQ100 FULL0926,-7.190774843419513e-05,-2.1798210272458337e-05,-0.00010575433986510755,2.83626133481711e-05,-0.00017809857137940133,-0.00011143676537612166,-3.725503093051931e-05,0.00011698427211597717,-2.5242596945431955e-05,6.240457627355017e-05,6.228193633080805e-05,-0.0001203150181720527,1.652336048920929e-05,-8.331101857104156e-05,-0.00012277809034890816,-0.00012277809034890816,1.0,1.0,0.953969889968276,0.00016122626186269038,0.001864464369618735,0.0004643608505731525,0.0005053926503738026,0.0004708420072422158,0.0002734268740320844,0.0004171867210489934,0.00036869530590971156,0.0009034573731996522,0.0009260338864287524,0.0009011713213214319,0.0008115299328396724,0.0009066207911285464,0.0008776931259380044
NASDAQ100 INDEX,-7.190774843419513e-05,-2.1798210272458337e-05,-0.00010575433986510755,2.83626133481711e-05,-0.00017809857137940133,-0.00011143676537612166,-3.725503093051931e-05,0.00011698427211597717,-2.5242596945431955e-05,6.240457627355017e-05,6.228193633080805e-05,-0.0001203150181720527,1.652336048920929e-05,-8.331101857104156e-05,-0.00012277809034890816,-0.00012277809034890816,1.0,1.0,0.953969889968276,0.00016122626186269038,0.001864464369618735,0.0004643608505731525,0.0005053926503738026,0.0004708420072422158,0.0002734268740320844,0.0004171867210489934,0.00036869530590971156,0.0009034573731996522,0.0009260338864287524,0.0009011713213214319,0.0008115299328396724,0.0009066207911285464,0.0008776931259380044
S&P500 - MINI S&P500 FULL0926,-6.562469506147691e-05,-9.350721140010847e-06,-0.00015334037880568608,9.619848362828003e-06,-0.00021925729141907894,-0.00016357334408543191,-9.654761501505743e-05,0.0001301122977769663,-4.914946366677279e-05,2.016981557376766e-05,6.411855251823034e-05,-0.00013711755966767152,4.307960983851552e-05,-9.434982095888524e-05,-0.00012580893239542046,-0.00012580893239542046,0.953969889968276,0.953969889968276,1.0,7.828817969611496e-05,0.001703981642937163,0.00019020754845974967,0.00027189423154263864,0.00023448870199023044,2.802705132215975e-05,0.0002055729046091894,0.00015981492002157914,0.00046290946706936274,0.0005028347750284627,0.0004801661671678247,0.00038471840171714207,0.0004838785997317396,0.0004591918996659169
GOLD - USD,0.14505459998055356,0.3522836884138364,0.06333314956394505,-0.005076793078489395,-0.009531943770904588,0.05463817674203458,0.3025366555651303,0.0040648189143313454,0.05602184682626222,0.3132202607567974,0.3371325337511056,-0.23957327159128816,-0.2814400594517642,-0.19466753737467973,0.10199173255274092,0.10199173255274092,0.00016122626186269038,0.00016122626186269038,7.828817969611496e-05,1.0,0.777292788989138,0.8862232821765297,0.8875720517271886,0.8778000371110027,0.907008547309552,0.8493675064745055,0.8503432305712936,0.7086040544468146,0.7109779045364713,0.7023335801908678,0.7226214668490974,0.7064032383494224,0.7040664692514654
SILVER - USD,0.22634345920954063,0.3632377166398258,0.07549717889618285,0.044343522646675904,-0.04031507370790602,0.09744654672829468,0.24303436764590863,0.06247613795255908,0.11180870015619294,0.27139730609828044,0.32644946520926915,-0.22847964358342648,-0.1940567082297698,-0.10791964553140262,0.12986000314630025,0.12986000314630025,0.001864464369618735,0.001864464369618735,0.001703981642937163,0.777292788989138,1.0,0.6956891665168928,0.6910727863764445,0.6997934365906912,0.7029957887422676,0.6285688183394788,0.6411598931079137,0.9393618940558159,0.93974160167577,0.9372745605668458,0.9440477454180176,0.9326631757147429,0.9324206191629743
GOLD - EUR,0.1324169746729018,0.1938669585207108,0.024604709878974024,-0.08195116972150762,-0.1128696898551568,-0.03026490412158922,0.0173995508991272,0.017319298515761503,0.03294630365165265,0.09400931387731776,0.15616680724189708,-0.08372733181291586,-0.07434655132070152,-0.045397337554649565,0.08308670615184167,0.08308670615184167,0.0004643608505731525,0.0004643608505731525,0.00019020754845974967,0.8862232821765297,0.6956891665168928,1.0,0.9775384946928471,0.9714020787779263,0.9619586390451146,0.9380101512667216,0.9474240102794886,0.7554944502270371,0.7471453714988865,0.7399780994694921,0.7431490581053417,0.7421717540209187,0.7438100701477929
GOLD - GBP,0.09895841617697393,0.17992169883968415,0.042912858426459984,-0.058408828113605184,0.08609127110483636,0.0015438497737071339,0.08645568336369244,-0.10496164749451367,-0.04493484286206073,0.032410995381665766,0.15024904598737776,-0.08807657987640037,-0.12006321581523831,-0.07109647651402355,0.06794394068183182,0.06794394068183182,0.0005053926503738026,0.0005053926503738026,0.00027189423154263864,0.8875720517271886,0.6910727863764445,0.9775384946928471,1.0,0.9548918973168121,0.96213590673957,0.9459341925510412,0.95155051550636,0.7394511486917632,0.7515288229077807,0.7266944913050775,0.7374451724751692,0.7398051050929411,0.7397549732279473
GOLD - CHF,0.2165208300735764,0.23867822015007067,-0.017594617961238318,0.14121169070528375,-0.08243714010909631,0.07484677205277439,0.06851464767107988,0.17750748560284174,0.11712678002487467,0.12740011925503691,0.18681148098853245,-0.11296609944085773,0.03065712629527194,0.00906693893642984,0.1030785046369976,0.1030785046369976,0.0004708420072422158,0.0004708420072422158,0.00023448870199023044,0.8778000371110027,0.6997934365906912,0.9714020787779263,0.9548918973168121,1.0,0.9437802765568228,0.9061015837879035,0.9226645689766065,0.7517806026983892,0.7461451415590068,0.7621876632128216,0.7439770686961009,0.7370718442537526,0.7419053385006259
GOLD - CAD,0.07552914902484353,0.22741587107025169,0.04294419998528597,-0.045621586164074815,-0.010241888467897838,0.009842608311808224,0.19558703705411207,-0.025343265170948304,0.015547163671094506,0.2068200880243493,0.21440432693772,-0.026829555069597957,-0.208622889441192,-0.1497726738302796,0.08781816646450535,0.08781816646450535,0.0002734268740320844,0.0002734268740320844,2.802705132215975e-05,0.907008547309552,0.7029957887422676,0.9619586390451146,0.96213590673957,0.9437802765568228,1.0,0.9464115146041937,0.945103814575052,0.7348660191605777,0.7367989811347085,0.7241118296518488,0.7574164500414733,0.7426166331193248,0.7393514353507201
GOLD - AUD,-0.10003239528914701,-0.03118070644043389,0.031804928876254315,-0.09902368053469474,0.022360665921221105,-0.03423660294961747,0.07817406071690083,-0.09219797998543755,-0.043938368319133156,0.06606714827257447,0.0022647799332397157,0.010999638695287146,-0.13870495126510357,-0.09611699945477271,0.038372933306421615,0.038372933306421615,0.0004171867210489934,0.0004171867210489934,0.0002055729046091894,0.8493675064745055,0.6285688183394788,0.9380101512667216,0.9459341925510412,0.9061015837879035,0.9464115146041937,1.0,0.9760288143651932,0.6727052055162844,0.6779771009854632,0.656037896364324,0.6817065240092985,0.7143177678859389,0.7011510576296838
GOLD - NZD,-0.017649536139678654,0.025371213684326467,0.04373533733246481,-0.06958737180387446,0.006803189500683988,-0.004664088964234028,0.05577123288584607,-0.05786342308166815,-0.007864998685245001,0.05392752446235479,-0.04427719858938295,-0.0014636792729059219,-0.09957288269563726,-0.05271132618146556,0.0574351202338122,0.0574351202338122,0.00036869530590971156,0.00036869530590971156,0.00015981492002157914,0.8503432305712936,0.6411598931079137,0.9474240102794886,0.95155051550636,0.9226645689766065,0.945103814575052,0.9760288143651932,1.0,0.6902517446461169,0.6938416150903179,0.6767527524845193,0.6942862777106921,0.7169876356223905,0.7257521731209422
SILVER - EUR,0.22978516048965192,0.30216421114112985,0.06059762946982817,0.014402546640742203,-0.08935362755768984,0.06380161549668062,0.11916119500483191,0.07362993684744881,0.1067331354046666,0.17885782151203977,0.2524869065639258,-0.16354471669944518,-0.10134492898733466,-0.04014243738279375,0.12346618434956995,0.12346618434956995,0.0009034573731996522,0.0009034573731996522,0.00046290946706936274,0.7086040544468146,0.9393618940558159,0.7554944502270371,0.7394511486917632,0.7517806026983892,0.7348660191605777,0.6727052055162844,0.6902517446461169,1.0,0.9953506700980074,0.9941143742777917,0.9919761693871002,0.9874983375565056,0.9892289242841048
SILVER - GBP,0.2151710387805356,0.2966530088667641,0.06912480219879419,0.025168204616948863,0.001096360944831355,0.0784874077021894,0.15098794675136346,0.01808246981479757,0.07153172975140946,0.15129564858314032,0.2504953640720432,-0.16597379703975151,-0.12248205204545892,-0.051985769926908065,0.11692103141152012,0.11692103141152012,0.0009260338864287524,0.0009260338864287524,0.0005028347750284627,0.7109779045364713,0.93974160167577,0.7471453714988865,0.7515288229077807,0.7461451415590068,0.7367989811347085,0.6779771009854632,0.6938416150903179,0.9953506700980074,1.0,0.9907100255120358,0.9920251274138339,0.9890483431054784,0.9900123803149138
SILVER - CHF,0.266906434062455,0.321143378221406,0.041149184611283085,0.11547024130837251,-0.07523857611540785,0.11110009959950838,0.14171233973500386,0.1459493504169908,0.14439417186050085,0.19315588070628528,0.2652465172444052,-0.17607221312780827,-0.05323649587517074,-0.01525595259644016,0.13199209632491513,0.13199209632491513,0.0009011713213214319,0.0009011713213214319,0.0004801661671678247,0.7023335801908678,0.9372745605668458,0.7399780994694921,0.7266944913050775,0.7621876632128216,0.7241118296518488,0.656037896364324,0.6767527524845193,0.9941143742777917,0.9907100255120358,1.0,0.9881682488487025,0.9810310501573719,0.9842076259605609
SILVER - CAD,0.2034050768786075,0.3177302571441963,0.06895267177994675,0.030250458584981606,-0.042513427407695294,0.08162651180456806,0.20090800864225025,0.05360677605077836,0.09834656787256557,0.23079118555600403,0.27938859890327905,-0.13710729046939138,-0.16350424548134662,-0.08856101085216422,0.12576912467190135,0.12576912467190135,0.0008115299328396724,0.0008115299328396724,0.00038471840171714207,0.7226214668490974,0.9440477454180176,0.7431490581053417,0.7374451724751692,0.7439770686961009,0.7574164500414733,0.6817065240092985,0.6942862777106921,0.9919761693871002,0.9920251274138339,0.9881682488487025,1.0,0.9891598346554398,0.9886289782279413
SILVER - AUD,0.12906914575198444,0.20665265138858704,0.06569312650639966,0.0077303820405261485,-0.028957793040980395,0.06433872595536021,0.15086235801903913,0.025407688170316557,0.07450870329583342,0.17095066271888107,0.18843548168264695,-0.12447795249231794,-0.13361572191766655,-0.06437640418748183,0.10620055021888106,0.10620055021888106,0.0009066207911285464,0.0009066207911285464,0.0004838785997317396,0.7064032383494224,0.9326631757147429,0.7421717540209187,0.7398051050929411,0.7370718442537526,0.7426166331193248,0.7143177678859389,0.7169876356223905,0.9874983375565056,0.9890483431054784,0.9810310501573719,0.9891598346554398,1.0,0.9949574409205988
SILVER - NZD,0.16527115503366246,0.2305294725150837,0.07069760956103906,0.020758292276944375,-0.035735133356213235,0.0771756075749203,0.1394623900926978,0.04055142276577815,0.09019861741178253,0.16402189784929352,0.16519648822422586,-0.1289651399250768,-0.11495724902940302,-0.04422240815569469,0.11411072178973894,0.11411072178973894,0.0008776931259380044,0.0008776931259380044,0.0004591918996659169,0.7040664692514654,0.9324206191629743,0.7438100701477929,0.7397549732279473,0.7419053385006259,0.7393514353507201,0.7011510576296838,0.7257521731209422,0.9892289242841048,0.9900123803149138,0.9842076259605609,0.9886289782279413,0.9949574409205988,1.0
