,AUD/JPY,AUD/USD,CHF/JPY,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/CHF,GBP/JPY,GBP/USD,NZD/USD,USD/CAD,USD/CHF,USD/JPY,DAX40 FULL0926,DAX40 PERF INDEX,NASDAQ100 - MINI NASDAQ100 FULL0926,NASDAQ100 INDEX,S&P500 - MINI S&P500 FULL0926,GOLD - USD,SILVER - USD,GOLD - EUR,GOLD - GBP,GOLD - CHF,GOLD - CAD,GOLD - AUD,GOLD - NZD,SILVER - EUR,SILVER - GBP,SILVER - CHF,SILVER - CAD,SILVER - AUD,SILVER - NZD,PALLADIUM,PLATINUM
NZD/USD,0.40987004939605803,0.8697113471937067,0.0736167640325608,0.13805146423168638,-0.03844264781824756,0.15109348139935,0.6720818481430949,0.1338318899850964,0.15926087119006943,0.7013748745610443,1.0,-0.642256649857857,-0.5087642004179259,-0.37277781125850457,0.117224560315518,0.117224560315518,6.22750442673459e-05,6.22750442673459e-05,6.411149003419746e-05,0.3371324156237692,0.3264493821561986,0.15616673808512957,0.15024897660907785,0.18681141273372542,0.21440424089457583,0.0022647279069824672,-0.04427725294933103,0.25248684258345616,0.250495299677248,0.2652464544938262,0.279388527257623,0.18843542227251964,0.1651964237013014,0.2953189030004148,0.2993654615329892
USD/CAD,-0.3383551052504033,-0.6648955725456344,-0.13378588097715793,-0.14365418513134826,-0.0013220350728866976,-0.20889888376530502,-0.5791147232698481,-0.09990578762575847,-0.18822911971510478,-0.5775169419443872,-0.642256649857857,1.0,0.4321473438081845,0.2525160085982797,-0.0827074879849255,-0.0827074879849255,-0.00012028597124023279,-0.00012028597124023279,-0.00013708779397102736,-0.23957315588116831,-0.22847955988391644,-0.08372725997620352,-0.08807650667745316,-0.11296602835342968,-0.026829482738304728,0.010999699833827422,-0.0014636051296544057,-0.1635446505895033,-0.16597373017528746,-0.17607214811241417,-0.13710722195295028,-0.12447788903161296,-0.12896506872144078,-0.21032902459576897,-0.22043246849301892
USD/CHF,0.18685554026132198,-0.4103396163167035,-0.23918525102727173,0.4598755668254484,-0.21503710490289574,0.07605439022847997,-0.7514546353123742,0.5324821595792081,0.1900599985720086,-0.6080517215740153,-0.5087642004179259,0.4321473438081845,1.0,0.6374537233420119,-0.009311991034767151,-0.009311991034767151,1.6450634484893085e-05,1.6450634484893085e-05,4.300508581881368e-05,-0.2814400735680311,-0.19405673546415297,-0.07434659238346221,-0.12006325200086572,0.030657076140683494,-0.20862291571845884,-0.13870498518913485,-0.09957292587903822,-0.10134496233519484,-0.12248208384291735,-0.053236532201045364,-0.16350427480634774,-0.13361575284346655,-0.11495728383645314,-0.13999266188526022,-0.15854093195507826
USD/JPY,0.598448767868023,-0.2598076004470996,0.578933271129668,0.260796845508868,-0.12703812411528825,0.6799252939873854,-0.5157284542734322,0.2997840633657069,0.7011593422343216,-0.43120878589249007,-0.37277781125850457,0.2525160085982797,0.6374537233420119,1.0,0.0282697686003794,0.0282697686003794,-8.325388586992861e-05,-8.325388586992861e-05,-9.429127669804765e-05,-0.19466733849821222,-0.10791950491720492,-0.04539719931535654,-0.0710963329366817,0.00906706291420652,-0.1497725031200661,-0.09611685313059182,-0.052711159686953474,-0.04014232203659252,-0.05198565236533246,-0.015255843235159982,-0.08856088204709875,-0.06437628493113015,-0.04422227937974885,-0.08718264770725548,-0.09507532616675674
DAX40 FULL0926,0.15604749709865792,0.1614706226544478,0.046125178111201474,0.08160168647048816,-0.07899982018644523,0.0933911928088225,0.07406794075132805,0.12031379767208845,0.12768587740768791,0.12468689566394302,0.117224560315518,-0.0827074879849255,-0.009311991034767151,0.0282697686003794,1.0,1.0,-0.0001226131062769386,-0.0001226131062769386,-0.00012563987509128766,0.10199194918210203,0.12986016852434462,0.08308688846456616,0.067944127969303,0.10307867441206446,0.08781836641387451,0.038373125314731825,0.05743534270845158,0.12346633090178748,0.11692118012707169,0.13199223739174243,0.12576928014792457,0.10620070105592123,0.1141108863347635,0.13543666240117624,0.1495537228426765
DAX40 PERF INDEX,0.15604749709865792,0.1614706226544478,0.046125178111201474,0.08160168647048816,-0.07899982018644523,0.0933911928088225,0.07406794075132805,0.12031379767208845,0.12768587740768791,0.12468689566394302,0.117224560315518,-0.0827074879849255,-0.009311991034767151,0.0282697686003794,1.0,1.0,-0.0001226131062769386,-0.0001226131062769386,-0.00012563987509128766,0.10199194918210203,0.12986016852434462,0.08308688846456616,0.067944127969303,0.10307867441206446,0.08781836641387451,0.038373125314731825,0.05743534270845158,0.12346633090178748,0.11692118012707169,0.13199223739174243,0.12576928014792457,0.10620070105592123,0.1141108863347635,0.13543666240117624,0.1495537228426765
NASDAQ100 - MINI NASDAQ100 FULL0926,-7.181427175833601e-05,-2.1737729659131837e-05,-0.00010560096013832073,2.8327428597851693e-05,-0.00017806370745753858,-0.00011132345826960848,-3.718978281119154e-05,0.00011693752212801451,-2.515222210280967e-05,6.245017795495086e-05,6.22750442673459e-05,-0.00012028597124023279,1.6450634484893085e-05,-8.325388586992861e-05,-0.0001226131062769386,-0.0001226131062769386,1.0,1.0,0.9539698976295083,0.00016144536395949383,0.0018646360117635932,0.0004645407006016261,0.0005055744013226243,0.0004710131888819759,0.00027362540762153776,0.00041736731765694933,0.00036890915581777925,0.000903608625142039,0.0009261862085483947,0.000901318425242314,0.0008116907298801572,0.0009067734227004311,0.0008778610283536478,-0.00011377045627206321,-0.0003487890846405464
NASDAQ100 INDEX,-7.181427175833601e-05,-2.1737729659131837e-05,-0.00010560096013832073,2.8327428597851693e-05,-0.00017806370745753858,-0.00011132345826960848,-3.718978281119154e-05,0.00011693752212801451,-2.515222210280967e-05,6.245017795495086e-05,6.22750442673459e-05,-0.00012028597124023279,1.6450634484893085e-05,-8.325388586992861e-05,-0.0001226131062769386,-0.0001226131062769386,1.0,1.0,0.9539698976295083,0.00016144536395949383,0.0018646360117635932,0.0004645407006016261,0.0005055744013226243,0.0004710131888819759,0.00027362540762153776,0.00041736731765694933,0.00036890915581777925,0.000903608625142039,0.0009261862085483947,0.000901318425242314,0.0008116907298801572,0.0009067734227004311,0.0008778610283536478,-0.00011377045627206321,-0.0003487890846405464
S&P500 - MINI S&P500 FULL0926,-6.552891147070117e-05,-9.288748699312586e-06,-0.0001531832052820832,9.583796681681515e-06,-0.00021922156282676555,-0.0001634572332905313,-9.648075028702672e-05,0.00013006439230436428,-4.9056855188564325e-05,2.0216546730009323e-05,6.411149003419746e-05,-0.00013708779397102736,4.300508581881368e-05,-9.429127669804765e-05,-0.00012563987509128766,-0.00012563987509128766,0.9539698976295083,0.9539698976295083,1.0,7.851665535244198e-05,0.0017041606424695872,0.00019039512834213252,0.00027208378643059296,0.00023466723373710946,2.8234112641822537e-05,0.00020576125125995265,0.00016003794861062617,0.0004630672451440339,0.0005029936667158351,0.0004803196151886206,0.0003848861347176579,0.0004840378141530227,0.0004593670434920113,-0.0009370209253958685,-0.0008303494752863186
GOLD - USD,0.14505473911333186,0.3522836811792652,0.06333340334581482,-0.005076835295714517,-0.009531924863588403,0.05463838044262308,0.30253665630392534,0.004064778531184364,0.056022031501235546,0.3132202526097386,0.3371324156237692,-0.23957315588116831,-0.2814400735680311,-0.19466733849821222,0.10199194918210203,0.10199194918210203,0.00016144536395949383,0.00016144536395949383,7.851665535244198e-05,1.0,0.7772928384906006,0.8862233071994859,0.8875720771292777,0.8778000606539968,0.9070085726621986,0.8493675415606449,0.8503432766329168,0.7086041073226774,0.7109779576438782,0.7023336314092774,0.7226215231232228,0.7064032927533767,0.7040665348751128,0.518917511949984,0.5838328083765316
SILVER - USD,0.2263435592944409,0.3632377189537172,0.07549737554931589,0.04434348443528709,-0.04031505611621635,0.09744669982760622,0.24303438205881542,0.06247610054357348,0.11180883697850948,0.27139731205400486,0.3264493821561986,-0.22847955988391644,-0.19405673546415297,-0.10791950491720492,0.12986016852434462,0.12986016852434462,0.0018646360117635932,0.0018646360117635932,0.0017041606424695872,0.7772928384906006,1.0,0.6956892282914519,0.6910728496809416,0.6997934947303249,0.702995853802411,0.6285688940700936,0.641159976206287,0.9393619031290742,0.9397416108897912,0.9372745691261352,0.944047755222187,0.9326631862177694,0.9324206319585585,0.583049632034398,0.6677100141846942
GOLD - EUR,0.13241709302507965,0.193866977989504,0.024604927039410137,-0.08195119609208161,-0.11286966350059534,-0.03026472098914703,0.01739958977969869,0.017319264005690397,0.032946459845098815,0.09400933824830703,0.15616673808512957,-0.08372725997620352,-0.07434659238346221,-0.04539719931535654,0.08308688846456616,0.08308688846456616,0.0004645407006016261,0.0004645407006016261,0.00019039512834213252,0.8862233071994859,0.6956892282914519,1.0,0.9775384995140572,0.9714020843329554,0.9619586468833075,0.9380101645171878,0.947424019987504,0.7554944920008441,0.7471454152599964,0.7399781421681545,0.743149106131111,0.7421717988261037,0.7438101207441817,0.44683578652936384,0.5059540355563518
GOLD - GBP,0.09895854084016248,0.1799217198727016,0.042913073771952054,-0.058408857301674305,0.08609127614014671,0.0015440290440035006,0.08645571485969007,-0.10496166878960789,-0.04493467177586086,0.032411026777620464,0.15024897660907785,-0.08807650667745316,-0.12006325200086572,-0.0710963329366817,0.067944127969303,0.067944127969303,0.0005055744013226243,0.0005055744013226243,0.00027208378643059296,0.8875720771292777,0.6910728496809416,0.9775384995140572,1.0,0.9548919062031934,0.9621359148441777,0.9459342042275771,0.9515505246791135,0.7394511936037403,0.7515288660746741,0.7266945365628703,0.7374452219395382,0.7398051505695895,0.7397550250624666,0.4353011290044046,0.49712839924017616
GOLD - CHF,0.21652093118681603,0.23867823509330305,-0.017594402302447347,0.14121164304105258,-0.08243711852271952,0.07484692839066394,0.06851467963016862,0.1775074369896867,0.11712691546502192,0.1274001395834739,0.18681141273372542,-0.11296602835342968,0.030657076140683494,0.00906706291420652,0.10307867441206446,0.10307867441206446,0.0004710131888819759,0.0004710131888819759,0.00023466723373710946,0.8778000606539968,0.6997934947303249,0.9714020843329554,0.9548919062031934,1.0,0.9437802868133078,0.9061016026301729,0.9226645820857009,0.7517806440424133,0.7461451842803462,0.76218770120015,0.7439771148361125,0.7370718886621409,0.7419053873226022,0.4640405336912203,0.5206123000074719
GOLD - CAD,0.07552928858793949,0.2274158857929737,0.04294443514442223,-0.04562161911273346,-0.010241871368701909,0.009842802392943635,0.19558705595853865,-0.025343297826689017,0.015547339191540409,0.20682009885820982,0.21440424089457583,-0.026829482738304728,-0.20862291571845884,-0.1497725031200661,0.08781836641387451,0.08781836641387451,0.00027362540762153776,0.00027362540762153776,2.8234112641822537e-05,0.9070085726621986,0.702995853802411,0.9619586468833075,0.9621359148441777,0.9437802868133078,1.0,0.9464115262491287,0.9451038291802681,0.7348660661944665,0.7367990283845937,0.7241118764204452,0.7574164974898577,0.7426166793421852,0.7393514902852645,0.45480493236939773,0.5153248352415812
GOLD - AUD,-0.1000322410793441,-0.031180661937029452,0.03180514531774551,-0.0990237050960972,0.022360677854367503,-0.034236418340949835,0.07817409298924374,-0.09219800261651562,-0.04393819851650585,0.06606717578115952,0.0022647279069824672,0.010999699833827422,-0.13870498518913485,-0.09611685313059182,0.038373125314731825,0.038373125314731825,0.00041736731765694933,0.00041736731765694933,0.00020576125125995265,0.8493675415606449,0.6285688940700936,0.9380101645171878,0.9459342042275771,0.9061016026301729,0.9464115262491287,1.0,0.9760288169079063,0.6727052624879749,0.6779771575429199,0.6560379541223543,0.6817065839922463,0.7143178179100956,0.7011511169304945,0.3760929738659328,0.43825324885731837
GOLD - NZD,-0.017649368132650754,0.02537125835554474,0.04373559037225546,-0.0695874031395017,0.006803205458025115,-0.0046638766793351836,0.05577127278538685,-0.057863453016876086,-0.007864804736467224,0.05392755738464405,-0.04427725294933103,-0.0014636051296544057,-0.09957292587903822,-0.052711159686953474,0.05743534270845158,0.05743534270845158,0.00036890915581777925,0.00036890915581777925,0.00016003794861062617,0.8503432766329168,0.641159976206287,0.947424019987504,0.9515505246791135,0.9226645820857009,0.9451038291802681,0.9760288169079063,1.0,0.6902518017368019,0.6938416721371301,0.6767528095416008,0.6942863405090297,0.7169876876279535,0.7257522329337484,0.3927477668275509,0.45580227562409276
SILVER - EUR,0.22978524928457533,0.30216422156977635,0.06059780517134328,0.014402515784152215,-0.08935360876271714,0.06380175544005477,0.11916121988745333,0.073629903667462,0.10673325687316455,0.17885783667746685,0.25248684258345616,-0.1635446505895033,-0.10134496233519484,-0.04014232203659252,0.12346633090178748,0.12346633090178748,0.000903608625142039,0.000903608625142039,0.0004630672451440339,0.7086041073226774,0.9393619031290742,0.7554944920008441,0.7394511936037403,0.7517806440424133,0.7348660661944665,0.6727052624879749,0.6902518017368019,1.0,0.9953506707999052,0.9941143750841388,0.9919761703757897,0.9874983394516423,0.9892289251831146,0.5323748988697264,0.6121128326924407
SILVER - GBP,0.2151711299297276,0.29665301965790675,0.06912497752050221,0.025168172679499504,0.0010963729647050792,0.07848754642703079,0.1509879691928141,0.018082440745200542,0.07153185692374961,0.15129566594767718,0.250495299677248,-0.16597373017528746,-0.12248208384291735,-0.05198565236533246,0.11692118012707169,0.11692118012707169,0.0009261862085483947,0.0009261862085483947,0.0005029936667158351,0.7109779576438782,0.9397416108897912,0.7471454152599964,0.7515288660746741,0.7461451842803462,0.7367990283845937,0.6779771575429199,0.6938416721371301,0.9953506707999052,1.0,0.9907100267944158,0.9920251284668363,0.9890483447825924,0.9900123812067985,0.5286326438980435,0.609850422020037
SILVER - CHF,0.26690651628448325,0.32114338751164323,0.04114935907259898,0.11547020382555218,-0.07523855902720708,0.11110022882564358,0.14171236246635097,0.14594931295438535,0.1443942850346,0.19315589474202038,0.2652464544938262,-0.17607214811241417,-0.053236532201045364,-0.015255843235159982,0.13199223739174243,0.13199223739174243,0.000901318425242314,0.000901318425242314,0.0004803196151886206,0.7023336314092774,0.9372745691261352,0.7399781421681545,0.7266945365628703,0.76218770120015,0.7241118764204452,0.6560379541223543,0.6767528095416008,0.9941143750841388,0.9907100267944158,1.0,0.9881682500832133,0.9810310528643965,0.9842076271282157,0.537913244703442,0.616123674752389
SILVER - CAD,0.20340517419317772,0.3177302653929814,0.06895285700712354,0.03025042431812514,-0.042513410991063906,0.08162665770270468,0.2009080272402435,0.053606742175085584,0.09834669809852031,0.2307911962374673,0.279388527257623,-0.13710722195295028,-0.16350427480634774,-0.08856088204709875,0.12576928014792457,0.12576928014792457,0.0008116907298801572,0.0008116907298801572,0.0003848861347176579,0.7226215231232228,0.944047755222187,0.743149106131111,0.7374452219395382,0.7439771148361125,0.7574164974898577,0.6817065839922463,0.6942863405090297,0.9919761703757897,0.9920251284668363,0.9881682500832133,1.0,0.9891598361915257,0.9886289800852447,0.5372455800778648,0.6177447950602705
SILVER - AUD,0.12906924755156352,0.2066526694174047,0.06569330284924314,0.007730351424338318,-0.02895777867642765,0.06433886709351577,0.15086238049369297,0.025407658459111308,0.07450883031057619,0.17095067853224105,0.18843542227251964,-0.12447788903161296,-0.13361575284346655,-0.06437628493113015,0.10620070105592123,0.10620070105592123,0.0009067734227004311,0.0009067734227004311,0.0004840378141530227,0.7064032927533767,0.9326631862177694,0.7421717988261037,0.7398051505695895,0.7370718886621409,0.7426166793421852,0.7143178179100956,0.7169876876279535,0.9874983394516423,0.9890483447825924,0.9810310528643965,0.9891598361915257,1.0,0.9949574410080594,0.5130088370708696,0.5962263570840145
SILVER - NZD,0.16527126151642008,0.2305294883727244,0.07069780270527429,0.0207582572875096,-0.03573511667920117,0.0771757606204385,0.13946241470369233,0.0405513884305609,0.09019875453901516,0.1640219145120857,0.1651964237013014,-0.12896506872144078,-0.11495728383645314,-0.04422227937974885,0.1141108863347635,0.1141108863347635,0.0008778610283536478,0.0008778610283536478,0.0004593670434920113,0.7040665348751128,0.9324206319585585,0.7438101207441817,0.7397550250624666,0.7419053873226022,0.7393514902852645,0.7011511169304945,0.7257522329337484,0.9892289251831146,0.9900123812067985,0.9842076271282157,0.9886289800852447,0.9949574410080594,1.0,0.5175260994870698,0.6006539953641006
PALLADIUM,0.21948228294547711,0.3352091966555494,0.04606076408677047,0.08145408759138499,-0.054762340312755134,0.09424637612572197,0.21006243820748163,0.1022385368523617,0.11664008946863419,0.24930941206248755,0.2953189030004148,-0.21032902459576897,-0.13999266188526022,-0.08718264770725548,0.13543666240117624,0.13543666240117624,-0.00011377045627206321,-0.00011377045627206321,-0.0009370209253958685,0.518917511949984,0.583049632034398,0.44683578652936384,0.4353011290044046,0.4640405336912203,0.45480493236939773,0.3760929738659328,0.3927477668275509,0.5323748988697264,0.5286326438980435,0.537913244703442,0.5372455800778648,0.5130088370708696,0.5175260994870698,1.0,0.7421418122114259
PLATINUM,0.22175808915939968,0.3433286143951687,0.056137016404891084,0.07066627136285467,-0.04478178285956214,0.0962757941643131,0.22180022148604245,0.0853206924929929,0.11250517005733428,0.25313989032739537,0.2993654615329892,-0.22043246849301892,-0.15854093195507826,-0.09507532616675674,0.1495537228426765,0.1495537228426765,-0.0003487890846405464,-0.0003487890846405464,-0.0008303494752863186,0.5838328083765316,0.6677100141846942,0.5059540355563518,0.49712839924017616,0.5206123000074719,0.5153248352415812,0.43825324885731837,0.45580227562409276,0.6121128326924407,0.609850422020037,0.616123674752389,0.6177447950602705,0.5962263570840145,0.6006539953641006,0.7421418122114259,1.0
